Company,"PNP ID","Approved on Date"
"21ST CENTURY ENTERTAINMENT",BUT,04/25/2002
"2-Tel B.V",TTL,03/20/1999
"3Com Corporation",TCM,11/29/1996
"3D Perception",TDP,05/16/2002
3M,VSD,10/16/1998
"3NOD Digital Technology Co. Ltd.",NOD,2014/11/12
"A D S Exports",NGS,07/16/1998
"A Plus Info Corporation",API,11/29/1996
"A&R Cambridge Ltd.",ACG,06/13/2007
"A/Vaux Electronics",AVX,08/29/2012
"A+V Link",APV,01/27/2010
"Aashima Technology B.V.",TRU,1998/08/05
"Aava Mobile Oy",AAM,08/13/2013
"ABBAHOME INC.",ABA,1999/08/11
"Abeam Tech Ltd.",MEG,11/29/1996
"Ably-Tech Corporation",ATC,11/29/1996
"AboCom System Inc.",ABC,03/28/1997
"ACC Microelectronics",WTC,11/29/1996
"Access Works Comm Inc",AWC,11/29/1996
"Acco UK Ltd.",PKA,2003/12/05
"Accton Technology Corporation",ACC,11/29/1996
Acculogic,ACU,11/29/1996
"AccuScene Corporation Ltd",ASL,06/13/2007
"Ace CAD Enterprise Company Ltd",ANT,11/29/1996
"Acer Inc",CHE,11/29/1996
"Acer Labs",ALI,11/29/1996
"Acer Netxus Inc",ANX,11/29/1996
"Acer Technologies",ACR,11/29/1996
Acksys,ACK,11/29/1996
"Acnhor Datacomm",ADC,11/29/1996
Acon,CAL,11/29/1996
"Acrolink Inc",ALK,1997/12/03
"Acroloop Motion Control Systems Inc",ACM,03/26/1998
"ACT Labs Ltd",LAB,1997/02/09
"Actek Engineering Pty Ltd",ACE,11/29/1996
"Actiontec Electric Inc",AEI,11/29/1996
"ActivCard S.A",ACV,1998/08/05
"Aculab Ltd",ACB,11/29/1996
"Acutec Ltd.",ALM,1999/08/11
"AD electronics",GLE,04/19/2000
"Ad Lib MultiMedia Inc",ADM,04/23/1998
"Adaptec Inc",ADP,11/29/1996
"Adax Inc",ADX,11/29/1996
ADC-Centre,RSH,1999/08/11
"Add Value Enterpises (Asia) Pte Ltd",AVE,1999/10/01
"Addi-Data GmbH",ADA,11/29/1996
"ADI Systems Inc",ADI,11/29/1996
"ADPM Synthesis sas",DPM,2000/10/08
"Adrienne Electronics Corporation",AXB,1997/07/10
Adtek,ADT,11/29/1996
